blockSize_bytes,cacheSize_bytes,ramSize_bytes,placementPolicy,replacementPolicy,program,hits,misses,hitRatio,filename,group
8,64,208,8-way_set_associative,FIFO,sort,693,343,0.668919,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591585.csv,0
8,64,208,8-way_set_associative,LFU,sort,420,616,0.405405,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591596.csv,0
8,64,208,8-way_set_associative,LRU,sort,715,321,0.690154,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591607.csv,0
8,64,208,8-way_set_associative,MRU,sort,371,665,0.358108,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591617.csv,0
8,64,208,8-way_set_associative,PLRU,sort,735,301,0.709459,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591625.csv,0
8,64,208,8-way_set_associative,SLRU,sort,715,321,0.690154,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113591635.csv,0
8,64,160,8-way_set_associative,FIFO,sort,419,189,0.689145,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591643.csv,1
8,64,160,8-way_set_associative,LFU,sort,275,333,0.452303,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591650.csv,1
8,64,160,8-way_set_associative,LRU,sort,428,180,0.703947,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591655.csv,1
8,64,160,8-way_set_associative,MRU,sort,209,399,0.343750,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591659.csv,1
8,64,160,8-way_set_associative,PLRU,sort,440,168,0.723684,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591664.csv,1
8,64,160,8-way_set_associative,SLRU,sort,435,173,0.715461,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113591668.csv,1
8,64,200,8-way_set_associative,FIFO,sort,636,314,0.669474,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591673.csv,2
8,64,200,8-way_set_associative,LFU,sort,387,563,0.407368,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591680.csv,2
8,64,200,8-way_set_associative,LRU,sort,655,295,0.689474,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591691.csv,2
8,64,200,8-way_set_associative,MRU,sort,349,601,0.367368,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591701.csv,2
8,64,200,8-way_set_associative,PLRU,sort,673,277,0.708421,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591708.csv,2
8,64,200,8-way_set_associative,SLRU,sort,664,286,0.698947,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113591715.csv,2
8,64,176,8-way_set_associative,FIFO,sort,416,236,0.638037,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591723.csv,3
8,64,176,8-way_set_associative,LFU,sort,263,389,0.403374,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591729.csv,3
8,64,176,8-way_set_associative,LRU,sort,428,224,0.656442,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591737.csv,3
8,64,176,8-way_set_associative,MRU,sort,164,488,0.251534,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591744.csv,3
8,64,176,8-way_set_associative,PLRU,sort,450,202,0.690184,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591749.csv,3
8,64,176,8-way_set_associative,SLRU,sort,455,197,0.697853,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113591759.csv,3
8,64,184,8-way_set_associative,FIFO,sort,439,261,0.627143,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591768.csv,4
8,64,184,8-way_set_associative,LFU,sort,279,421,0.398571,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591775.csv,4
8,64,184,8-way_set_associative,LRU,sort,453,247,0.647143,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591785.csv,4
8,64,184,8-way_set_associative,MRU,sort,184,516,0.262857,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591793.csv,4
8,64,184,8-way_set_associative,PLRU,sort,474,226,0.677143,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591800.csv,4
8,64,184,8-way_set_associative,SLRU,sort,476,224,0.680000,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113591808.csv,4
8,64,152,8-way_set_associative,FIFO,sort,347,167,0.675097,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591816.csv,5
8,64,152,8-way_set_associative,LFU,sort,242,272,0.470817,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591821.csv,5
8,64,152,8-way_set_associative,LRU,sort,353,161,0.686770,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591827.csv,5
8,64,152,8-way_set_associative,MRU,sort,164,350,0.319066,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591833.csv,5
8,64,152,8-way_set_associative,PLRU,sort,367,147,0.714008,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591838.csv,5
8,64,152,8-way_set_associative,SLRU,sort,366,148,0.712062,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113591844.csv,5
8,64,112,8-way_set_associative,FIFO,sort,195,75,0.722222,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591850.csv,6
8,64,112,8-way_set_associative,LFU,sort,153,117,0.566667,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591853.csv,6
8,64,112,8-way_set_associative,LRU,sort,195,75,0.722222,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591857.csv,6
8,64,112,8-way_set_associative,MRU,sort,138,132,0.511111,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591860.csv,6
8,64,112,8-way_set_associative,PLRU,sort,204,66,0.755556,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591862.csv,6
8,64,112,8-way_set_associative,SLRU,sort,209,61,0.774074,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113591866.csv,6
8,64,216,8-way_set_associative,FIFO,sort,595,373,0.614669,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591871.csv,7
8,64,216,8-way_set_associative,LFU,sort,363,605,0.375000,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591881.csv,7
8,64,216,8-way_set_associative,LRU,sort,619,349,0.639463,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591895.csv,7
8,64,216,8-way_set_associative,MRU,sort,221,747,0.228306,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591905.csv,7
8,64,216,8-way_set_associative,PLRU,sort,639,329,0.660124,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591915.csv,7
8,64,216,8-way_set_associative,SLRU,sort,641,327,0.662190,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113591926.csv,7
8,64,88,8-way_set_associative,FIFO,sort,129,33,0.796296,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591934.csv,8
8,64,88,8-way_set_associative,LFU,sort,108,54,0.666667,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591936.csv,8
8,64,88,8-way_set_associative,LRU,sort,125,37,0.771605,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591939.csv,8
8,64,88,8-way_set_associative,MRU,sort,104,58,0.641975,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591940.csv,8
8,64,88,8-way_set_associative,PLRU,sort,130,32,0.802469,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591942.csv,8
8,64,88,8-way_set_associative,SLRU,sort,131,31,0.808642,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113591943.csv,8
8,64,184,8-way_set_associative,FIFO,sort,519,261,0.665385,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591946.csv,9
8,64,184,8-way_set_associative,LFU,sort,334,446,0.428205,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591951.csv,9
8,64,184,8-way_set_associative,LRU,sort,534,246,0.684615,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591957.csv,9
8,64,184,8-way_set_associative,MRU,sort,212,568,0.271795,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591962.csv,9
8,64,184,8-way_set_associative,PLRU,sort,549,231,0.703846,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591966.csv,9
8,64,184,8-way_set_associative,SLRU,sort,539,241,0.691026,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113591972.csv,9
8,64,144,8-way_set_associative,FIFO,sort,256,146,0.636816,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113591980.csv,10
8,64,144,8-way_set_associative,LFU,sort,169,233,0.420398,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113591985.csv,10
8,64,144,8-way_set_associative,LRU,sort,261,141,0.649254,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113591990.csv,10
8,64,144,8-way_set_associative,MRU,sort,120,282,0.298507,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113591993.csv,10
8,64,144,8-way_set_associative,PLRU,sort,278,124,0.691542,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113591997.csv,10
8,64,144,8-way_set_associative,SLRU,sort,284,118,0.706468,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113592001.csv,10
8,64,152,8-way_set_associative,FIFO,sort,319,167,0.656379,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113592006.csv,11
8,64,152,8-way_set_associative,LFU,sort,227,259,0.467078,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113592016.csv,11
8,64,152,8-way_set_associative,LRU,sort,325,161,0.668724,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113592028.csv,11
8,64,152,8-way_set_associative,MRU,sort,158,328,0.325103,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113592035.csv,11
8,64,152,8-way_set_associative,PLRU,sort,339,147,0.697531,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113592041.csv,11
8,64,152,8-way_set_associative,SLRU,sort,345,141,0.709877,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113592044.csv,11
8,64,184,8-way_set_associative,FIFO,sort,459,261,0.637500,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113592050.csv,12
8,64,184,8-way_set_associative,LFU,sort,295,425,0.409722,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113592068.csv,12
8,64,184,8-way_set_associative,LRU,sort,473,247,0.656944,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113592079.csv,12
8,64,184,8-way_set_associative,MRU,sort,194,526,0.269444,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113592089.csv,12
8,64,184,8-way_set_associative,PLRU,sort,496,224,0.688889,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113592097.csv,12
8,64,184,8-way_set_associative,SLRU,sort,498,222,0.691667,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113592103.csv,12
8,64,200,8-way_set_associative,FIFO,sort,562,314,0.641553,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113592109.csv,13
8,64,200,8-way_set_associative,LFU,sort,344,532,0.392694,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113592114.csv,13
8,64,200,8-way_set_associative,LRU,sort,581,295,0.663242,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113592122.csv,13
8,64,200,8-way_set_associative,MRU,sort,251,625,0.286530,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113592127.csv,13
8,64,200,8-way_set_associative,PLRU,sort,592,284,0.675799,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113592132.csv,13
8,64,200,8-way_set_associative,SLRU,sort,591,285,0.674658,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113592138.csv,13
8,64,136,8-way_set_associative,FIFO,sort,270,126,0.681818,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113592145.csv,14
8,64,136,8-way_set_associative,LFU,sort,188,208,0.474747,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113592147.csv,14
8,64,136,8-way_set_associative,LRU,sort,273,123,0.689394,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113592150.csv,14
8,64,136,8-way_set_associative,MRU,sort,177,219,0.446970,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113592153.csv,14
8,64,136,8-way_set_associative,PLRU,sort,287,109,0.724747,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113592155.csv,14
8,64,136,8-way_set_associative,SLRU,sort,292,104,0.737374,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113592157.csv,14
8,64,80,8-way_set_associative,FIFO,sort,119,21,0.850000,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113592162.csv,15
8,64,80,8-way_set_associative,LFU,sort,102,38,0.728571,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113592163.csv,15
8,64,80,8-way_set_associative,LRU,sort,114,26,0.814286,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113592164.csv,15
8,64,80,8-way_set_associative,MRU,sort,106,34,0.757143,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113592166.csv,15
8,64,80,8-way_set_associative,PLRU,sort,112,28,0.800000,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113592167.csv,15
8,64,80,8-way_set_associative,SLRU,sort,116,24,0.828571,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113592169.csv,15
8,64,152,8-way_set_associative,FIFO,sort,313,167,0.652083,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113592172.csv,16
8,64,152,8-way_set_associative,LFU,sort,221,259,0.460417,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113592176.csv,16
8,64,152,8-way_set_associative,LRU,sort,320,160,0.666667,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113592180.csv,16
8,64,152,8-way_set_associative,MRU,sort,200,280,0.416667,results/sort-A8/sort/data/MRU_A8_B1_C8_1657113592183.csv,16
8,64,152,8-way_set_associative,PLRU,sort,338,142,0.704167,results/sort-A8/sort/data/PLRU_A8_B1_C8_1657113592187.csv,16
8,64,152,8-way_set_associative,SLRU,sort,345,135,0.718750,results/sort-A8/sort/data/SLRU_A8_B1_C8_1657113592190.csv,16
8,64,104,8-way_set_associative,FIFO,sort,162,60,0.729730,results/sort-A8/sort/data/FIFO_A8_B1_C8_1657113592195.csv,17
8,64,104,8-way_set_associative,LFU,sort,123,99,0.554054,results/sort-A8/sort/data/LFU_A8_B1_C8_1657113592196.csv,17
8,64,104,8-way_set_associative,LRU,sort,160,62,0.720721,results/sort-A8/sort/data/LRU_A8_B1_C8_1657113592198.csv,17
