blockSize_bytes,cacheSize_bytes,ramSize_bytes,placementPolicy,replacementPolicy,program,hits,misses,hitRatio,filename,group
8,256,744,4-way_set_associative,FIFO,matMul,632,808,0.438889,results/2022-10-06T1850/matMul/data/FIFO_A4_B1_C32_1665075036724.csv,0
8,256,744,4-way_set_associative,LFU,matMul,609,831,0.422917,results/2022-10-06T1850/matMul/data/LFU_A4_B1_C32_1665075036739.csv,0
8,256,744,4-way_set_associative,MRU,matMul,760,680,0.527778,results/2022-10-06T1850/matMul/data/MRU_A4_B1_C32_1665075036762.csv,0
8,256,744,4-way_set_associative,PLRU,matMul,675,765,0.468750,results/2022-10-06T1850/matMul/data/PLRU_A4_B1_C32_1665075036783.csv,0
8,256,744,4-way_set_associative,SLRU,matMul,670,770,0.465278,results/2022-10-06T1850/matMul/data/SLRU_A4_B1_C32_1665075036805.csv,0
8,256,464,4-way_set_associative,FIFO,matMul,660,180,0.785714,results/2022-10-06T1850/matMul/data/FIFO_A4_B1_C32_1665075036828.csv,1
8,256,464,4-way_set_associative,LFU,matMul,499,341,0.594048,results/2022-10-06T1850/matMul/data/LFU_A4_B1_C32_1665075036843.csv,1
8,256,464,4-way_set_associative,MRU,matMul,608,232,0.723810,results/2022-10-06T1850/matMul/data/MRU_A4_B1_C32_1665075036858.csv,1
8,256,464,4-way_set_associative,PLRU,matMul,697,143,0.829762,results/2022-10-06T1850/matMul/data/PLRU_A4_B1_C32_1665075036867.csv,1
8,256,464,4-way_set_associative,SLRU,matMul,390,450,0.464286,results/2022-10-06T1850/matMul/data/SLRU_A4_B1_C32_1665075036884.csv,1
8,256,304,4-way_set_associative,FIFO,matMul,671,51,0.929363,results/2022-10-06T1850/matMul/data/FIFO_A4_B1_C32_1665075036903.csv,2
8,256,304,4-way_set_associative,LFU,matMul,634,88,0.878116,results/2022-10-06T1850/matMul/data/LFU_A4_B1_C32_1665075036911.csv,2
8,256,304,4-way_set_associative,MRU,matMul,651,71,0.901662,results/2022-10-06T1850/matMul/data/MRU_A4_B1_C32_1665075036928.csv,2
8,256,304,4-way_set_associative,PLRU,matMul,684,38,0.947368,results/2022-10-06T1850/matMul/data/PLRU_A4_B1_C32_1665075036936.csv,2
8,256,304,4-way_set_associative,SLRU,matMul,521,201,0.721607,results/2022-10-06T1850/matMul/data/SLRU_A4_B1_C32_1665075036944.csv,2
8,256,960,4-way_set_associative,FIFO,matMul,1071,1329,0.446250,results/2022-10-06T1850/matMul/data/FIFO_A4_B1_C32_1665075036962.csv,3
8,256,960,4-way_set_associative,LFU,matMul,913,1487,0.380417,results/2022-10-06T1850/matMul/data/LFU_A4_B1_C32_1665075036997.csv,3
8,256,960,4-way_set_associative,MRU,matMul,1146,1254,0.477500,results/2022-10-06T1850/matMul/data/MRU_A4_B1_C32_1665075037036.csv,3
8,256,960,4-way_set_associative,PLRU,matMul,1178,1222,0.490833,results/2022-10-06T1850/matMul/data/PLRU_A4_B1_C32_1665075037063.csv,3
8,256,960,4-way_set_associative,SLRU,matMul,1138,1262,0.474167,results/2022-10-06T1850/matMul/data/SLRU_A4_B1_C32_1665075037097.csv,3
8,256,1152,4-way_set_associative,FIFO,matMul,1064,1520,0.411765,results/2022-10-06T1850/matMul/data/FIFO_A4_B1_C32_1665075037175.csv,4
8,256,1152,4-way_set_associative,LFU,matMul,875,1709,0.338622,results/2022-10-06T1850/matMul/data/LFU_A4_B1_C32_1665075037204.csv,4
8,256,1152,4-way_set_associative,MRU,matMul,1161,1423,0.449303,results/2022-10-06T1850/matMul/data/MRU_A4_B1_C32_1665075037245.csv,4
8,256,1152,4-way_set_associative,PLRU,matMul,1234,1350,0.477554,results/2022-10-06T1850/matMul/data/PLRU_A4_B1_C32_1665075037289.csv,4
